"number";"player";"team";"apps";"min";"goals";"NPG";"a"
265;"Mezian Soares";"Lens";1;10;1;1;0
266;"Dante";"Nice";12;861;0;0;1
267;"Lukas Hradecky";"Monaco";17;1445;0;0;0
268;"Ulisses García";"Marseille";4;203;0;0;0
269;"Francis Coquelin";"Nantes";16;669;0;0;1
270;"Ben Chilwell";"Strasbourg";20;1613;0;0;2
271;"Chancel Mbemba";"Lille";13;949;0;0;0
272;"Emerson";"Marseille";28;2110;0;0;3
273;"Assane Diousse";"Auxerre";15;187;0;0;0
274;"Pol Lirola";"Marseille";3;19;0;0;0
275;"Geoffrey Kondogbia";"Marseille";10;635;0;0;0
276;"Paul Pogba";"Monaco";6;102;0;0;0
277;"Joel Asoro";"Metz";8;220;0;0;0
278;"Arthur Masuaku";"Lens";4;235;0;0;0
279;"Timothée Kolodziejczak";"Paris FC";11;660;0;0;0
280;"Gerónimo Rulli";"Marseille";29;2610;0;0;0
281;"Lucas Hernández";"Paris Saint Germain";25;1749;0;0;3
282;"André Gomes";"Lille";2;4;0;0;0
283;"Thilo Kehrer";"Monaco";28;2368;0;0;0
284;"Hamari Traore";"Paris FC";18;1169;0;0;1
285;"Frederic Guilbert";"Nantes";8;614;0;0;0
286;"Anthony Lopes";"Nantes";31;2789;0;0;0
287;"Rachid Ghezzal";"Lyon";10;211;0;0;0
288;"Mathieu Gorgelin";"Lens";1;90;0;0;0
289;"Kevin Trapp";"Paris FC";22;1980;0;0;0
290;"Benjamin Stambouli";"Metz";19;948;0;0;0
291;"Adrien Rabiot";"Marseille";1;90;0;0;0
292;"Marquinhos";"Paris Saint Germain";14;1040;0;0;0
293;"Bouna Sarr";"Metz";12;898;0;0;0
294;"Maxime Dupé";"Nice";8;720;0;0;0
295;"Pierrick Capelle";"Angers";16;643;0;0;1
296;"Neal Maupay";"Marseille";1;1;0;0;0
297;"Morgan Sanson";"Nice";31;1759;0;0;2
298;"Maxime Lopez";"Paris FC";26;1972;0;0;3
299;"Kelvin Adou";"Nantes";23;1964;0;0;1
300;"Mathieu Cafaro";"Paris FC";10;133;0;0;0
301;"Brice Samba";"Rennes";32;2880;0;0;0
302;"Hans Hateboer";"Lyon,Rennes";16;744;0;0;0
303;"Caio Henrique";"Monaco";22;1527;0;0;2
304;"Matvey Safonov";"Paris Saint Germain";15;1350;0;0;0
305;"Malang Sarr";"Lens";33;2933;0;0;1
306;"Karl-Johan Johnsson";"Strasbourg";1;90;0;0;0
307;"Abdoulaye Bamba";"Angers";6;255;0;0;0
308;"Carlens Arcus";"Angers";26;2053;0;0;3
309;"Pierre-Yves Hamel";"Paris FC";2;78;0;0;0
310;"Remy Descamps";"Lyon";5;450;0;0;0
311;"Fode Toure";"Metz";13;866;0;0;0
312;"Tanguy NDombele Alvaro";"Nice";8;273;0;0;1
313;"Bingourou Kamara";"Lorient";3;270;0;0;0
314;"Kenny Lala";"Brest";32;2793;0;0;3
315;"Moussa Niakhate";"Lyon";32;2750;0;0;2
316;"Nicolas Cozza";"Nantes";29;2297;0;0;1
317;"Kouakou Herve Koffi";"Angers";30;2661;0;0;0
318;"Orel Mangala";"Lyon";9;414;0;0;0
319;"Yvon Mvogo";"Lorient";31;2790;0;0;0
320;"Elisha Owusu";"Auxerre";29;2366;0;0;0
321;"Romain Faivre";"Auxerre";10;592;0;0;2
322;"Yehvann Diouf";"Nice";26;2340;0;0;0
323;"Jordan Lefort";"Angers";34;3060;0;0;2
324;"Ibrahima Sissoko";"Nantes";13;811;0;0;0
325;"Jonathan Gradit";"Lens";9;810;0;0;0
