"number";"player";"team";"apps";"min";"goals";"NPG";"a"
38;"Oliver Burke";"Union Berlin";29;1699;6;6;2
39;"Arnaud Kalimuendo Muinga";"Eintracht Frankfurt";19;1431;6;6;1
40;"Malik Tillman";"Bayer Leverkusen";29;1681;6;6;1
41;"Anton Kade";"Augsburg";28;1740;6;6;0
42;"Phillip Tietz";"Augsburg,Mainz 05";29;1811;6;6;2
43;"Fabian Rieder";"Augsburg";32;2387;6;4;3
44;"Budu Zivzivadze";"FC Heidenheim";20;1148;6;6;0
45;"Luka Vuskovic";"Hamburger SV";28;2440;6;5;0
46;"Gian-Luca Waldschmidt";"FC Cologne";24;633;5;3;5
47;"Leon Goretzka";"Bayern Munich";31;2004;5;5;3
48;"Kevin Diks";"Borussia M.Gladbach";30;2472;5;1;0
49;"Ramy Bensebaini";"Borussia Dortmund";21;1524;5;3;2
50;"Raphael Guerreiro";"Bayern Munich";18;779;5;5;2
51;"Rani Khedira";"Union Berlin";32;2854;5;5;1
52;"Alexis Claude Maurice";"Augsburg";29;2135;5;4;4
53;"Nico Schlotterbeck";"Borussia Dortmund";28;2520;5;5;1
54;"Rayan Philippe";"Hamburger SV";28;1272;5;5;0
55;"Marius Bülter";"FC Cologne";32;1578;5;5;4
56;"Edmond Tapsoba";"Bayer Leverkusen";29;2579;5;5;3
57;"Ritsu Doan";"Eintracht Frankfurt";31;2425;5;5;5
58;"Paul Nebel";"Mainz 05";30;2087;5;5;2
59;"Albert Sambi Lokonga";"Hamburger SV";26;1724;5;5;0
60;"Tiago Tomás";"VfB Stuttgart";27;996;5;5;3
61;"Justin Njinmah";"Werder Bremen";33;1963;5;5;0
62;"Danilho Doekhi";"Union Berlin";34;3060;5;5;0
63;"Derry Scherhant";"Freiburg";31;1253;5;5;1
64;"Stefan Schimmer";"FC Heidenheim";27;737;5;5;1
65;"Andrej Ilic";"Union Berlin";32;2238;5;5;9
66;"Danel Sinani";"St. Pauli";30;2080;5;2;3
67;"Johan Manzambi";"Freiburg";27;2145;5;5;4
68;"Bazoumana Touré";"Hoffenheim";30;2379;5;5;9
69;"Lennart Karl";"Bayern Munich";26;1268;5;5;5
70;"Christian Kofane";"Bayer Leverkusen";29;1231;5;5;4
71;"Ernest Poku";"Bayer Leverkusen";29;1471;5;5;5
72;"Ilyas Ansah";"Union Berlin";33;1960;5;5;1
73;"Ransford Königsdörffer";"Hamburger SV";33;2425;5;5;0
74;"Martin Terrier";"Bayer Leverkusen";18;667;4;4;1
75;"Nikolas Nartey";"VfB Stuttgart";28;1255;4;4;3
76;"Woo-Yeong Jeong";"Union Berlin";28;1182;4;4;1
77;"Ozan Kabak";"Hoffenheim";25;1731;4;4;0
78;"Ansgar Knauff";"Eintracht Frankfurt";28;1302;4;4;1
79;"Romano Schmid";"Werder Bremen";34;3004;4;1;8
80;"Patrick Wimmer";"Wolfsburg";25;1678;4;4;3
81;"Jae-Sung Lee";"Mainz 05";28;2229;4;4;2
82;"Yuito Suzuki";"Freiburg";25;1645;4;4;2
83;"Marvin Pieringer";"FC Heidenheim";27;1689;4;3;1
84;"Antonio Nusa";"RasenBallsport Leipzig";31;2048;4;4;3
85;"Bilal El Khannouss";"VfB Stuttgart";25;1654;4;4;5
86;"Konstantinos Koulierakis";"Wolfsburg";29;2476;4;4;1
87;"Nathaniel Brown";"Eintracht Frankfurt";33;2668;4;4;4
88;"Assan Ouédraogo";"RasenBallsport Leipzig";19;970;4;4;3
89;"Wouter Burger";"Hoffenheim";30;2486;4;4;5
90;"Andréas Hountondji";"St. Pauli";21;1092;4;4;0
91;"Maximilian Eggestein";"Freiburg";34;3060;3;3;1
92;"Matthias Ginter";"Freiburg";32;2845;3;3;3
93;"Emre Can";"Borussia Dortmund";9;627;3;0;0
94;"Christian Eriksen";"Wolfsburg";31;2446;3;0;9
95;"Aleix García";"Bayer Leverkusen";33;2708;3;3;7
96;"Jean-Luc Dompe";"Hamburger SV";20;1132;3;2;0
97;"Konrad Laimer";"Bayern Munich";29;1997;3;3;9
98;"Robin Koch";"Eintracht Frankfurt";32;2840;3;3;1
99;"Lucas Höler";"Freiburg";33;2070;3;3;1
100;"Mattias Svanberg";"Wolfsburg";24;814;3;3;1
101;"Xaver Schlager";"RasenBallsport Leipzig";26;1844;3;3;1
102;"Sheraldo Becker";"Mainz 05";14;975;3;3;3
103;"Jan Thielmann";"FC Cologne";26;1582;3;3;1
104;"Jamal Musiala";"Bayern Munich";15;666;3;2;4
105;"Eren Sami Dinkci";"FC Heidenheim,Freiburg";22;1401;3;3;1
106;"Robert Glatzel";"Hamburger SV";19;594;3;2;2
107;"David Raum";"RasenBallsport Leipzig";30;2570;3;2;7
108;"Jarell Quansah";"Bayer Leverkusen";28;2303;3;3;0
109;"Tom Bischof";"Bayern Munich";26;1282;3;3;3
110;"Jean Négoce";"Eintracht Frankfurt";27;1322;3;3;4
111;"Brajan Gruda";"RasenBallsport Leipzig";13;760;3;3;3
112;"Ibrahim Maza";"Bayer Leverkusen";28;1845;3;3;4
113;"Aleksandar Pavlovic";"Bayern Munich";24;1451;3;3;1
114;"Jovan Milosevic";"Werder Bremen";13;476;3;3;1
115;"Jan Schöppner";"FC Heidenheim";31;2286;3;3;3
116;"Samuel Mbangula";"Werder Bremen";26;1160;3;3;2
117;"Leopold Querfeld";"Union Berlin";31;2701;3;1;0
118;"Marco Grüll";"Werder Bremen";33;2039;3;3;1
119;"Alexander Prass";"Hoffenheim";32;1269;3;3;2
120;"Shuto Machino";"Borussia M.Gladbach";32;1046;3;3;1
121;"Chema Andres";"VfB Stuttgart";25;1299;3;3;0
122;"Abdoulie Ceesay";"St. Pauli";20;282;3;3;0
123;"Julian Niehues";"FC Heidenheim";24;1416;3;3;0
124;"Robin Fellhauer";"Augsburg";34;2829;3;3;2
125;"Jens Castrop";"Borussia M.Gladbach";26;1613;3;3;1
126;"Martijn Kaars";"St. Pauli";29;1331;3;2;1
127;"Conrad Harder";"RasenBallsport Leipzig";29;886;3;3;3
128;"Stefan Bell";"Mainz 05";18;1044;2;2;1
129;"Waldemar Anton";"Borussia Dortmund";32;2880;2;2;0
130;"Jonathan Tah";"Bayern Munich";28;2031;2;2;1
131;"Mahmoud Dahoud";"Eintracht Frankfurt";15;722;2;2;3
132;"Joshua Kimmich";"Bayern Munich";29;2268;2;2;8
133;"Danny da Costa";"Mainz 05";34;2689;2;2;3
134;"Dominik Kohr";"Mainz 05";29;2366;2;2;0
135;"Jonas Hofmann";"Bayer Leverkusen";23;997;2;2;2
136;"Silvan Widmer";"Mainz 05";27;1855;2;2;1
137;"Franck Honorat";"Borussia M.Gladbach";28;2021;2;2;6
138;"Willi Orban";"RasenBallsport Leipzig";33;2952;2;2;0
139;"Lukas Kübler";"Freiburg";23;1616;2;2;2
140;"Hauke Wahl";"St. Pauli";30;2591;2;2;1
141;"Elvis Rexhbecaj";"Augsburg";26;1098;2;2;0
142;"Linton Maina";"FC Cologne";24;1007;2;2;0
143;"Bote Baku";"RasenBallsport Leipzig";32;2538;2;2;3
144;"Han-Noah Massengo";"Augsburg";33;2455;2;2;1
145;"Andras Schafer";"Union Berlin";28;1420;2;2;1
146;"Pereira Lage";"St. Pauli";28;2067;2;2;2
147;"Robert Andrich";"Bayer Leverkusen";32;2550;2;2;0
148;"Fabio Silva";"Borussia Dortmund";28;784;2;2;6
149;"Eric Martel";"FC Cologne";31;2579;2;2;2
150;"Felix Nmecha";"Borussia Dortmund";29;2208;2;2;3
151;"Armindo Sieb";"Mainz 05";22;497;2;2;0
152;"Carney Chukwuemeka";"Borussia Dortmund";28;869;2;2;0
153;"Josip Stanisic";"Bayern Munich";26;1842;2;2;3
154;"Joe Scally";"Borussia M.Gladbach";32;2615;2;2;3
155;"Angelo Stiller";"VfB Stuttgart";34;2752;2;2;5
156;"Dimitris Giannoulis";"Augsburg";27;1957;2;2;5
157;"Lovro Majer";"Wolfsburg";28;1390;2;2;3
158;"Kristijan Jakic";"Augsburg";26;1655;2;2;1
159;"Arijon Ibrahimovic";"FC Heidenheim";32;2196;2;1;4
160;"Yannick Engelhardt";"Borussia M.Gladbach";31;2506;2;2;2
161;"Tom Rothe";"Union Berlin";21;1018;2;2;0
162;"Rasmus Kristensen";"Eintracht Frankfurt";22;1555;2;2;0
163;"Farès Chaïbi";"Eintracht Frankfurt";28;1822;2;2;9
164;"Aaron Zehnter";"Wolfsburg";20;1467;2;2;0
165;"Yan Couto";"Borussia Dortmund";19;989;2;2;2
166;"Mert Kömür";"Augsburg";28;1455;2;2;4
167;"Patrick Mainka";"FC Heidenheim";34;3060;2;2;2
168;"Hugo Larsson";"Eintracht Frankfurt";25;1839;2;2;2
169;"Mathias Honsak";"FC Heidenheim";27;1263;2;2;1
170;"Jan-Niklas Beste";"Freiburg";28;1721;2;2;2
171;"Rodrigo Ribeiro";"Augsburg";14;629;2;2;0
172;"Max Moerstedt";"Hoffenheim";22;334;2;2;0
173;"Philipp Sander";"Borussia M.Gladbach";30;2475;2;2;0
174;"Eric Smith";"St. Pauli";27;2313;2;2;2
175;"Luca Kerber";"FC Heidenheim";18;670;2;2;0
176;"Sirlord Conteh";"FC Heidenheim";15;585;2;2;1
177;"Arthur Chaves";"Augsburg,Hoffenheim";15;1062;2;2;0
178;"Daniel Svensson";"Borussia Dortmund";33;2454;2;2;2
179;"Marin Ljubicic";"Union Berlin";2;11;2;2;0
180;"Johan Bakayoko";"RasenBallsport Leipzig";20;764;2;2;0
181;"Ísak Bergmann Jóhannesson";"FC Cologne";31;1830;2;2;2
182;"Adam Daghim";"Wolfsburg";27;1328;2;2;3
183;"Wael Mohya";"Borussia M.Gladbach";15;533;2;2;1
184;"Ricky-Jade Jones";"St. Pauli";9;344;2;2;0
185;"Ayoube Amaimouni-Echghouyab";"Eintracht Frankfurt";17;551;2;2;3
186;"Yannick Gerhardt";"Wolfsburg";19;1080;1;1;0
187;"Maximilian Arnold";"Wolfsburg";25;1837;1;1;4
188;"Benjamin Henrichs";"RasenBallsport Leipzig";17;275;1;1;0
189;"Michy Batshuayi";"Eintracht Frankfurt";6;123;1;0;0
190;"Lucas Vázquez";"Bayer Leverkusen";12;483;1;1;2
191;"Philipp Lienhart";"Freiburg";20;1296;1;1;0
192;"Marius Wolf";"Augsburg";29;1002;1;1;1
193;"Marnon Busch";"FC Heidenheim";29;1901;1;1;5
194;"Bakery Jatta";"Hamburger SV";15;934;1;1;1
195;"Florian Kainz";"FC Cologne";15;245;1;1;1
196;"Dayotchanculle Upamecano";"Bayern Munich";24;1805;1;1;1
197;"Marcel Sabitzer";"Borussia Dortmund";26;1835;1;1;2
