Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,Unnamed: 9
,E. Haaland ST,24,91,93,Manchester City 2022 ~ 2034,€172.5M,€390K,2184,
,K. Mbappé ST LW LM,26,91,92,Real Madrid 2024 ~ 2029,€157M,€610K,2209,
,O. Dembélé ST RW CAM,28,90,90,Paris Saint-Germain 2023 ~ 2028,€122.5M,€220K,2232,
,Vitinha CM CDM CAM,25,90,92,Paris Saint-Germain 2022 ~ 2029,€149M,€185K,2271,
,H. Kane ST,31,90,90,FC Bayern München 2023 ~ 2027,€101M,€170K,2218,
,Pedri CM CDM CAM,22,90,93,FC Barcelona 2020 ~ 2030,€165M,€180K,2247,
,T. Courtois GK,33,90,90,Real Madrid 2018 ~ 2027,€39M,€240K,1361,
,Gabriel CB,27,89,90,Arsenal 2020 ~ 2029,€104M,€250K,1897,
,M. Salah RM RW CAM,33,89,89,Liverpool 2017 ~ 2027,€64M,€220K,2217,
,G. Donnarumma GK,26,89,91,Manchester City 2025 ~ 2030,€97M,€150K,1381,
,Rodri CDM CM,29,89,89,Manchester City 2019 ~ 2027,€88M,€250K,2280,
,A. Hakimi RB RM,26,89,90,Paris Saint-Germain 2021 ~ 2029,€111M,€170K,2321,
,J. Kimmich CDM RB CM,30,89,89,FC Bayern München 2015 ~ 2029,€86M,€140K,2331,
,M. Olise RM RW CAM,23,89,91,FC Bayern München 2024 ~ 2029,€134M,€120K,2156,
,Raphinha LW CAM RW LM,28,89,89,FC Barcelona 2022 ~ 2028,€104M,€220K,2264,
,Lamine Yamal RW RM,17,89,95,FC Barcelona 2022 ~ 2031,€147M,€115K,2042,
,Vini Jr. LW ST LM,24,89,92,Real Madrid 2018 ~ 2027,€141M,€320K,2064,
,F. Valverde CM RB RM CDM,26,89,90,Real Madrid 2016 ~ 2029,€120.5M,€340K,2354,
,J. Bellingham CAM CM LM,22,89,93,Real Madrid 2023 ~ 2029,€150.5M,€300K,2359,
,D. Rice CDM CM,26,88,89,Arsenal 2023 ~ 2028,€96M,€230K,2273,
,W. Saliba CB,24,88,90,Arsenal 2019 ~ 2030,€105.5M,€200K,1926,
,M. Caicedo CDM CM,23,88,90,Chelsea 2023 ~ 2033,€107M,€185K,2202,
,V. van Dijk CB,33,88,88,Liverpool 2018 ~ 2027,€43.5M,€195K,2088,
,Alisson GK,32,88,88,Liverpool 2018 ~ 2027,€45M,€130K,1462,
,Bruno Fernandes CAM CM,30,88,88,Manchester United 2020 ~ 2027,€88M,€185K,2297,
,K. Kvaratskhelia LW RW LM,24,88,91,Paris Saint-Germain 2025 ~ 2029,€125M,€150K,2260,
,Nuno Mendes LB LM,23,88,91,Paris Saint-Germain 2021 ~ 2029,€115.5M,€135K,2312,
,W. Pacho CB,23,88,90,Paris Saint-Germain 2024 ~ 2029,€105.5M,€135K,1870,
,João Neves CM CDM,20,88,93,Paris Saint-Germain 2024 ~ 2029,€135M,€120K,2316,
,N. Barella CM CDM,28,88,88,Inter 2020 ~ 2029,€91.5M,€76K,2342,
,L. Martínez ST,27,88,88,Inter 2018 ~ 2029,€99M,€79K,2226,
,J. Oblak GK,32,88,88,Atlético Madrid 2014 ~ 2028,€45M,€87K,1387,
,David Raya GK,29,87,87,Arsenal 2024 ~ 2028,€54.5M,€145K,1460,
,B. Saka RW RM,23,87,89,Arsenal 2018 ~ 2030,€103.5M,€210K,2241,
,A. Isak ST,25,87,88,Liverpool 2025 ~ 2031,€96.5M,€185K,2078,
,F. Wirtz CAM LM CM,22,87,91,Liverpool 2025 ~ 2030,€116.5M,€160K,2163,
,Rúben Dias CB,28,87,87,Manchester City 2020 ~ 2029,€68.5M,€210K,1888,
,Marquinhos CB,31,87,87,Paris Saint-Germain 2013 ~ 2028,€54.5M,€145K,2072,
,J. Tah CB,29,87,87,FC Bayern München 2025 ~ 2029,€66.5M,€115K,1801,
,L. Díaz LM LW ST,28,87,87,FC Bayern München 2025 ~ 2029,€80M,€120K,2143,
,J. Musiala CAM LM CM ST,22,87,91,FC Bayern München 2020 ~ 2030,€116.5M,€100K,2180,
,A. Bastoni CB,26,87,89,Inter 2017 ~ 2028,€87M,€63K,2049,
,M. Maignan GK,29,87,88,AC Milan 2021 ~ 2031,€61M,€61K,1578,
,K. De Bruyne CM CAM,34,87,87,Napoli 2025 ~ 2027,€36.5M,€175K,2223,
,F. de Jong CM CDM CAM,28,87,87,FC Barcelona 2019 ~ 2029,€79.5M,€170K,2244,
,M. Ødegaard CM CAM,26,86,87,Arsenal 2021 ~ 2028,€79.5M,€200K,2197,
,V. Gyökeres ST,27,86,86,Arsenal 2025 ~ 2030,€73.5M,€220K,2139,
,C. Palmer CAM RM CM,23,86,89,Chelsea 2023 ~ 2033,€93M,€170K,2144,
,D. Szoboszlai CAM RB CM,24,86,88,Liverpool 2023 ~ 2028,€88M,€145K,2307,
,R. Gravenberch CDM CM,23,86,89,Liverpool 2023 ~ 2032,€84M,€135K,2235,
,Bruno Guimarães CM CDM,27,86,86,Newcastle United 2022 ~ 2028,€72M,€190K,2235,
,D. Doué RW LW CM RM,20,86,91,Paris Saint-Germain 2024 ~ 2029,€101M,€110K,2160,
,D. Upamecano CB,26,86,88,FC Bayern München 2021 ~ 2030,€74M,€100K,1914,
,G. Kobel GK,27,86,89,Borussia Dortmund 2021 ~ 2028,€66.5M,€52K,1254,
,N. Schlotterbeck CB,25,86,88,Borussia Dortmund 2022 ~ 2031,€75.5M,€78K,2117,
,Y. Sommer GK,36,86,86,Inter 2023 ~ 2028,€7.5M,€24K,1393,
,H. Çalhanoğlu CDM CM,31,86,86,Inter 2024 ~ 2027,€47.5M,€61K,2305,
,F. Dimarco LB LM,27,86,86,Inter 2018 ~ 2027,€65.5M,€58K,2331,
,Bremer CB,28,86,86,Juventus 2022 ~ 2029,€58.5M,€185K,1946,
,S. McTominay CM CAM LM CDM,28,86,86,Napoli 2024 ~ 2029,€68M,€165K,2236,
,A. Tchouaméni CDM CM CB,25,84,87,Real Madrid 2022 ~ 2028,€50.5M,€200K,2167,
,Rodrygo LW RW ST LM,24,84,87,Real Madrid 2019 ~ 2028,€57.5M,€210K,2023,
,Unai Simón GK,28,84,85,Athletic Club 2015 ~ 2029,€33.5M,€44K,1312,
,Isco CAM CM,33,84,84,Real Betis Balompié 2023 ~ 2028,€26.5M,€52K,2113,
,M. ter Stegen GK,33,84,84,"Girona FC Jun 30, 2026 On loan",€13.5M,€82K,1401,
,L. Trossard LW LM,30,83,83,Arsenal 2023 ~ 2027,€35M,€175K,2003,
,Mikel Merino CM ST CDM,29,83,83,Arsenal 2024 ~ 2028,€35.5M,€160K,2189,
,P. Hincapié LB CB,23,83,87,"Arsenal Jun 30, 2026 On loan",€48.5M,€81K,1957,
,C. Gakpo LM LW,26,83,83,Liverpool 2023 ~ 2030,€39.5M,€125K,2122,
,G. Mamardashvili GK,24,83,86,Liverpool 2024 ~ 2030,€38.5M,€61K,1137,
,Bernardo Silva CM CDM RW,30,83,83,Manchester City 2017 ~ 2030,€34.5M,€150K,2156,
,J. Doku LW LM RW,23,83,86,Manchester City 2023 ~ 2028,€49.5M,€135K,1987,
,O. Marmoush LW ST LM,26,83,83,Manchester City 2025 ~ 2029,€39.5M,€155K,2080,
,Matheus Cunha CAM LM ST,26,83,84,Manchester United 2025 ~ 2030,€43M,€115K,2115,
,J. Maddison CM CAM,28,83,83,Tottenham Hotspur 2023 ~ 2028,€36.5M,€135K,2130,
,D. Kulusevski CM RW CAM,25,83,86,Tottenham Hotspur 2023 ~ 2028,€47.5M,€125K,2180,
,J. Bowen RM ST RW,28,83,83,West Ham United 2020 ~ 2030,€36.5M,€100K,2086,
,W. Zaïre-Emery CM CDM RB CAM,19,83,89,Paris Saint-Germain 2022 ~ 2029,€55M,€73K,2191,
,M. Greenwood RM CAM RW,23,83,86,Olympique de Marseille 2024 ~ 2029,€49.5M,€51K,2043,
,S. Gnabry CAM LM ST,29,83,83,FC Bayern München 2017 ~ 2028,€35.5M,€87K,2039,
,A. Davies LB LM,24,83,86,FC Bayern München 2019 ~ 2030,€46M,€68K,2170,
,W. Anton CB,28,83,83,Borussia Dortmund 2024 ~ 2028,€31.5M,€66K,1919,
,M. Ginter CB,31,83,83,SC Freiburg 2022 ~ 2027,€25M,€45K,1936,
,E. Palacios CM CDM,26,83,83,Bayer 04 Leverkusen 2020 ~ 2030,€39.5M,€100K,2157,
,M. Mittelstädt LB LM,28,83,83,VfB Stuttgart 2023 ~ 2028,€33M,€57K,2132,
,A. Stiller CDM CM,24,83,87,VfB Stuttgart 2023 ~ 2028,€47.5M,€47K,2058,
,W. Orban CB,32,83,83,RB Leipzig 2015 ~ 2027,€23.5M,€74K,1742,
,D. Raum LB LM,27,83,83,RB Leipzig 2022 ~ 2027,€35M,€71K,2176,
,H. Mkhitaryan CM CAM,36,83,83,Inter 2022 ~ 2028,€11.5M,€37K,2221,
,S. de Vrij CB,33,83,83,Inter 2018 ~ 2029,€17.5M,€47K,1851,
,F. Acerbi CB,37,83,83,Inter 2023 ~ 2029,€6.5M,€35K,1867,
,M. Akanji CB,29,83,83,"Inter Jun 30, 2026 On loan",€30.5M,€145K,1967,
,M. Zaccagni LW LM,30,83,83,Lazio 2021 ~ 2029,€35M,€56K,2144,
,I. Provedel GK,31,83,83,Lazio 2022 ~ 2027,€19M,€33K,1359,
,R. Lukaku ST,32,83,83,Napoli 2024 ~ 2027,€29.5M,€135K,2028,
,S. Lobotka CM CDM,30,83,83,Napoli 2020 ~ 2027,€34.5M,€125K,2108,
,G. Di Lorenzo RB CB RM CM,31,83,83,Napoli 2019 ~ 2028,€26.5M,€120K,2154,
,A. Zambo Anguissa CM CAM,29,83,83,Napoli 2022 ~ 2027,€35.5M,€125K,2199,
,A. Rrahmani CB,31,83,83,Napoli 2020 ~ 2027,€25M,€120K,1857,
,R. Orsolini RM RW,28,83,83,Bologna 2019 ~ 2027,€36.5M,€74K,2090,
,M. Kean ST,25,83,86,Fiorentina 2024 ~ 2029,€48.5M,€74K,1954,
,J. Giménez CB,30,83,83,Atlético Madrid 2013 ~ 2028,€30M,€86K,1838,
,A. Sørloth ST RW RM,29,83,83,Atlético Madrid 2024 ~ 2028,€36.5M,€95K,1990,
,A. Lookman ST CAM LM,27,83,83,Atlético Madrid 2026 ~ 2030,€39.5M,€95K,2019,
,D. Hancko LB CB CDM,27,83,83,Atlético Madrid 2025 ~ 2030,€35M,€82K,2147,
,Pablo Barrios CM CDM,22,83,87,Atlético Madrid 2022 ~ 2030,€52.5M,€75K,2146,
,W. Szczęsny GK,35,83,83,FC Barcelona 2024 ~ 2027,€4M,€45K,1341,
,Eric García CB RB CDM RM,24,83,86,FC Barcelona 2021 ~ 2031,€44.5M,€95K,2082,
,Balde LB LM,21,83,87,FC Barcelona 2021 ~ 2028,€49.5M,€80K,1985,
,Gavi CM CDM CAM,20,83,87,FC Barcelona 2020 ~ 2030,€51M,€85K,2070,
,Fermín CAM CM ST,22,83,87,FC Barcelona 2023 ~ 2031,€53M,€100K,2168,
,Pau Cubarsí CB,18,83,89,FC Barcelona 2023 ~ 2029,€48M,€70K,1912,
,A. Güler RM CM CAM RW,20,83,89,Real Madrid 2023 ~ 2029,€56.5M,€150K,2096,
,Oyarzabal ST,28,83,83,Real Sociedad 2014 ~ 2028,€37M,€65K,2129,
,B. White RB CM,27,82,82,Arsenal 2021 ~ 2028,€29.5M,€135K,1883,
,K. Havertz ST CAM CM,26,82,84,Arsenal 2023 ~ 2028,€38M,€155K,2054,
,R. Calafiori LB CB CM,23,82,86,Arsenal 2024 ~ 2029,€40.5M,€120K,2130,
,O. Watkins ST,29,82,82,Aston Villa 2020 ~ 2028,€30.5M,€140K,2102,
,Pedro Neto RM LM RW,25,82,83,Chelsea 2024 ~ 2031,€36.5M,€130K,2035,
,João Pedro ST CAM,23,82,86,Chelsea 2025 ~ 2033,€44M,€130K,2037,
,J. Grealish LM LW,29,82,82,"Everton Jun 30, 2026 On loan",€30M,€140K,2068,
,I. Ndiaye RM LM RW,25,82,83,Everton 2024 ~ 2029,€36.5M,€55K,2009,
,J. Frimpong RB RM RW,24,82,84,Liverpool 2025 ~ 2030,€36.5M,€95K,2082,
,J. Stones CB RB CDM,31,82,82,Manchester City 2016 ~ 2029,€21M,€135K,1992,
,M. Kovačić CM CDM CAM,31,82,82,Manchester City 2023 ~ 2027,€25M,€140K,2101,
,N. Aké CB LB CDM,30,82,82,Manchester City 2020 ~ 2027,€25M,€135K,2011,
,Matheus Nunes RB CM RM,26,82,83,Manchester City 2023 ~ 2028,€33M,€130K,2190,
,Casemiro CDM CM,33,82,82,Manchester United 2022 ~ 2029,€15M,€100K,2093,
,M. de Ligt CB,25,82,84,Manchester United 2024 ~ 2029,€34M,€95K,1935,
,F. Schär CB,33,82,82,Newcastle United 2018 ~ 2029,€14.5M,€135K,2100,
,A. Gordon LW ST RW LM,24,82,85,Newcastle United 2023 ~ 2030,€41.5M,€125K,2092,
,E. Anderson CDM CM,22,82,86,Nottingham Forest 2024 ~ 2029,€40.5M,€90K,2200,
,Murillo CB,22,82,86,Nottingham Forest 2023 ~ 2030,€40M,€90K,1999,
,Palhinha CDM CM,29,82,82,"Tottenham Hotspur Jun 30, 2026 On loan",€26M,€75K,2017,
,C. Romero CB,27,82,84,Tottenham Hotspur 2022 ~ 2029,€32.5M,€115K,1884,
,Pedro Porro RB RM,25,82,85,Tottenham Hotspur 2023 ~ 2028,€37M,€105K,2207,
,X. Simons CAM LM LW ST,22,82,85,Tottenham Hotspur 2025 ~ 2030,€42.5M,€105K,2122,
,M. van de Ven CB LB,24,82,85,Tottenham Hotspur 2023 ~ 2029,€37M,€95K,2007,
,D. Henderson GK,28,82,83,Crystal Palace 2023 ~ 2028,€24M,€67K,1316,
,J. Mateta ST,28,82,82,Crystal Palace 2022 ~ 2027,€31M,€115K,2000,
,D. Muñoz RB RM,29,82,82,Crystal Palace 2024 ~ 2028,€27M,€100K,2132,
,C. Tolisso CM CDM CAM,30,82,82,Olympique Lyonnais 2022 ~ 2027,€29M,€33K,2229,
,M. Safonov GK,26,82,86,Paris Saint-Germain 2024 ~ 2029,€33M,€58K,1304,
,L. Chevalier GK,23,82,86,Paris Saint-Germain 2025 ~ 2030,€34.5M,€46K,1181,
,M. Neuer GK,39,82,82,FC Bayern München 2011 ~ 2030,€3.4M,€23K,1431,
,Kim Min Jae CB,28,82,82,FC Bayern München 2023 ~ 2028,€26.5M,€75K,1789,
,A. Pavlović CDM CM,21,82,87,FC Bayern München 2023 ~ 2029,€43M,€52K,2117,
,E. Can CB CDM,31,82,82,Borussia Dortmund 2020 ~ 2027,€21M,€60K,2177,
,J. Brandt CAM CM,29,82,82,Borussia Dortmund 2019 ~ 2030,€30M,€64K,2058,
,K. Adeyemi RM LW CAM RW,23,82,86,Borussia Dortmund 2022 ~ 2027,€43.5M,€52K,2052,
,E. Tapsoba CB,26,82,83,Bayer 04 Leverkusen 2020 ~ 2028,€31.5M,€86K,1963,
,D. Undav ST CAM,28,82,82,VfB Stuttgart 2024 ~ 2027,€31M,€59K,2028,
,J. Burkardt ST,24,82,85,Eintracht Frankfurt 2025 ~ 2030,€42M,€43K,2020,
,C. De Ketelaere CAM ST CM,24,82,86,Atalanta 2024 ~ 2028,€43.5M,€72K,2092,
,Éderson CM CDM,25,82,85,Atalanta 2022 ~ 2027,€40M,€77K,2151,
,L. Openda ST CAM,25,82,84,"Juventus Jun 30, 2026 On loan",€38.5M,€70K,2019,
,K. Yıldız CAM LM LW CM,20,82,89,Juventus 2023 ~ 2029,€60.5M,€100K,2100,
,A. Romagnoli CB,30,82,82,Lazio 2022 ~ 2027,€25M,€46K,1769,
,A. Meret GK,28,82,84,Napoli 2019 ~ 2027,€26M,€72K,1276,
,A. Buongiorno CB,26,82,86,Napoli 2024 ~ 2029,€37.5M,€105K,1919,
,R. Freuler CDM CM,33,82,82,Bologna 2023 ~ 2029,€15M,€65K,2065,
,W. Falcone GK,30,82,82,Lecce 2023 ~ 2028,€20.5M,€13K,1145,
,Nico Paz CAM RM ST CM,20,82,89,Como 2024 ~ 2028,€60.5M,€82K,2017,
,D. Berardi RW RM,30,82,82,Sassuolo 2015 ~ 2029,€29.5M,€36K,2062,
,Giuliano RM RW LM,22,82,86,Atlético Madrid 2020 ~ 2030,€44.5M,€69K,2130,
,Álex Baena LM CM LW,23,82,87,Atlético Madrid 2025 ~ 2030,€46M,€69K,2155,
,M. Rashford LW LM ST,27,82,82,"FC Barcelona Jun 30, 2026 On loan",€32.5M,€110K,2048,
,A. Laporte CB,31,82,82,Athletic Club 2025 ~ 2028,€21M,€56K,1962,
,Sancet CAM CM ST,25,82,85,Athletic Club 2017 ~ 2032,€40.5M,€55K,2249,
,Vivian CB,25,82,85,Athletic Club 2019 ~ 2032,€36M,€51K,1900,
,Iago Aspas RW ST CAM RM,37,82,82,RC Celta 2015 ~ 2027,€10M,€35K,2062,
,Álex Remiro GK,30,82,82,Real Sociedad 2019 ~ 2027,€20.5M,€34K,1321,
,A. Budimir ST,33,82,82,CA Osasuna 2021 ~ 2027,€19.5M,€53K,1916,
,Moleiro LM CAM LW,21,82,87,Villarreal CF 2025 ~ 2030,€47M,€39K,2069,
,Gabriel Martinelli LW LM CM,24,81,84,Arsenal 2019 ~ 2027,€35M,€125K,2069,
,J. McGinn RM LM CAM RB,30,81,81,Aston Villa 2018 ~ 2028,€25M,€120K,2198,
,M. Cash RB RM,27,81,81,Aston Villa 2020 ~ 2029,€25M,€110K,2084,
,A. Onana CDM CM,23,81,84,Aston Villa 2024 ~ 2029,€32M,€95K,2039,
,Robert Sánchez GK,27,81,82,Chelsea 2023 ~ 2030,€22M,€76K,1374,
,J. Garner CDM RB CM,24,81,84,Everton 2022 ~ 2030,€32M,€44K,2140,
,D. Zapata ST,34,81,81,Torino 2024 ~ 2030,€12.5M,€56K,1912,
,Koke CM CDM,33,81,81,Atlético Madrid 2011 ~ 2028,€16M,€76K,2118,
,R. Le Normand CB,28,81,82,Atlético Madrid 2024 ~ 2029,€24.5M,€73K,1741,
,R. Araujo CB,26,81,84,FC Barcelona 2018 ~ 2031,€30M,€90K,1890,
,F. Mendy LB LM,30,81,81,Real Madrid 2019 ~ 2028,€22M,€170K,2100,
,Brahim RM RW,25,81,82,Real Madrid 2019 ~ 2027,€31M,€160K,1914,
,E. Camavinga CM CDM LB,22,81,85,Real Madrid 2021 ~ 2029,€37.5M,€145K,2186,
,Álvaro Carreras LB CB LM,22,81,87,Real Madrid 2025 ~ 2031,€38.5M,€140K,2123,
,D. Huijsen CB,20,81,88,Real Madrid 2025 ~ 2030,€47.5M,€120K,1997,
,Iñaki Williams RW ST RM,31,81,81,Athletic Club 2012 ~ 2028,€21.5M,€58K,2119,
,G. Lo Celso CAM CM,29,81,81,Real Betis Balompié 2024 ~ 2028,€25.5M,€40K,2187,
,Fornals CM CAM CDM,29,81,81,Real Betis Balompié 2024 ~ 2029,€25M,€39K,2142,
,Antony RW RM,25,81,82,Real Betis Balompié 2025 ~ 2030,€31M,€38K,2108,
,V. Muriqi ST,31,81,81,RCD Mallorca 2022 ~ 2029,€22M,€47K,1853,
,T. Kubo RM RW,24,81,84,Real Sociedad 2022 ~ 2029,€35M,€42K,2021,
,Álvaro García LW LM ST,32,81,81,Rayo Vallecano 2018 ~ 2028,€20.5M,€37K,1968,
,De Frutos RW ST RM,28,81,81,Rayo Vallecano 2023 ~ 2028,€26M,€37K,2075,
,Gerard Moreno ST CAM,33,81,81,Villarreal CF 2018 ~ 2027,€16.5M,€55K,2090,
,Ayoze ST CAM,31,81,81,Villarreal CF 2024 ~ 2028,€22M,€55K,2161,
,N. Pépé RW ST RM,30,81,81,Villarreal CF 2024 ~ 2028,€25M,€54K,2044,
,Luis Milla CM CDM,30,81,81,Getafe CF 2022 ~ 2027,€24.5M,€46K,2169,
,C. Nørgaard CDM CM,31,80,80,Arsenal 2025 ~ 2027,€15M,€125K,2025,
,Gabriel Jesus ST CAM,28,80,80,Arsenal 2022 ~ 2027,€21.5M,€140K,2038,
,N. Madueke RW RM,23,80,84,Arsenal 2025 ~ 2030,€30M,€115K,2017,
,L. Digne LB LM,31,80,80,Aston Villa 2022 ~ 2028,€15.5M,€110K,2145,
,Pau Torres CB,28,80,80,Aston Villa 2023 ~ 2028,€18M,€110K,1944,
,T. Chalobah CB RB,25,80,82,Chelsea 2016 ~ 2028,€23.5M,€105K,1922,
,L. Colwill CB,22,80,84,Chelsea 2020 ~ 2029,€27.5M,€95K,1929,
,Andrey Santos CM CDM,21,80,87,Chelsea 2023 ~ 2030,€42.5M,€86K,2131,
,J. Tarkowski CB,32,80,80,Everton 2022 ~ 2028,€13.5M,€50K,1830,
,K. Dewsbury-Hall CAM CM,26,80,81,Everton 2025 ~ 2030,€25M,€51K,2153,
,F. Chiesa RM ST RW,27,80,80,Liverpool 2024 ~ 2028,€22.5M,€100K,2037,
,C. Jones CM CDM CAM,24,80,83,Liverpool 2018 ~ 2027,€28.5M,€87K,2091,
,A. Khusanov CB,21,80,86,Manchester City 2025 ~ 2029,€31M,€80K,1847,
,N. Mazraoui RB CB LB RM,27,80,80,Manchester United 2024 ~ 2028,€20.5M,€84K,2075,
,Amad RM RB RW,22,80,85,Manchester United 2021 ~ 2030,€32.5M,€77K,2020,
,B. Šeško ST,22,80,87,Manchester United 2025 ~ 2030,€43M,€84K,2007,
,D. Burn CB LB,33,80,80,Newcastle United 2022 ~ 2027,€10M,€115K,1755,
,H. Barnes LW RW LM,27,80,80,Newcastle United 2023 ~ 2028,€22.5M,€125K,1995,
,N. Woltemade ST CM,23,80,85,Newcastle United 2025 ~ 2031,€32M,€110K,1933,
,T. Livramento RB LB RM,22,80,86,Newcastle United 2023 ~ 2028,€31.5M,€95K,2006,
,O. Aina RB LB RM,28,80,80,Nottingham Forest 2023 ~ 2028,€19M,€95K,2062,
,N. Milenković CB,27,80,81,Nottingham Forest 2024 ~ 2029,€21M,€90K,1787,
,N. Williams LB RB,24,80,82,Nottingham Forest 2022 ~ 2029,€25M,€78K,1979,
,D. Solanke ST,27,80,80,Tottenham Hotspur 2024 ~ 2030,€23M,€110K,1973,
,R. Bentancur CDM CM,28,80,81,Tottenham Hotspur 2022 ~ 2030,€20.5M,€100K,2086,
,P. Sarr CM CDM,22,80,85,Tottenham Hotspur 2021 ~ 2030,€32M,€88K,2112,
,N. Mukiele CB RB,27,80,80,Sunderland 2025 ~ 2029,€19.5M,€65K,1948,
,Reinildo LB,31,80,80,Sunderland 2025 ~ 2027,€15.5M,€68K,2003,
,O. Alderete CB,28,80,81,Sunderland 2025 ~ 2029,€20M,€68K,1952,
,R. Roefs GK,22,80,86,Sunderland 2025 ~ 2030,€27.5M,€33K,1037,
,A. Iwobi LM CDM LW,29,80,80,Fulham FC 2023 ~ 2028,€20.5M,€90K,2058,
,H. Wilson RM CAM RW,28,80,80,Fulham FC 2021 ~ 2030,€21M,€90K,2066,
,D. Welbeck ST,34,80,80,Brighton & Hove Albion 2020 ~ 2027,€10.5M,€105K,2016,
,B. Verbruggen GK,22,80,86,Brighton & Hove Albion 2023 ~ 2028,€27.5M,€45K,1253,
,J. van Hecke CB,25,80,83,Brighton & Hove Albion 2020 ~ 2027,€25M,€86K,1929,
,Y. Minteh RM RW,20,80,86,Brighton & Hove Albion 2024 ~ 2029,€33M,€70K,1944,
,C. Baleba CDM CM,21,80,86,Brighton & Hove Albion 2023 ~ 2028,€31M,€65K,2122,
,M. Damsgaard CAM CM LW,24,80,83,Brentford 2022 ~ 2030,€29M,€71K,2103,
,M. Kayode RB RM,20,80,85,Brentford 2025 ~ 2030,€29M,€55K,1981,
,T. Morton CDM CM,22,79,84,Olympique Lyonnais 2025 ~ 2030,€24.5M,€21K,2094,
,A. Golovin CAM LM CM ST,29,79,79,AS Monaco 2018 ~ 2029,€17M,€39K,2106,
,F. Balogun ST,23,79,83,AS Monaco 2023 ~ 2028,€25.5M,€35K,1867,
,L. Camara CM CDM CAM,21,79,85,AS Monaco 2024 ~ 2029,€28M,€27K,2119,
,E. Lepaul ST,25,79,82,Stade Rennais FC 2025 ~ 2029,€23.5M,€33K,1913,
,F. Medina CB LB,26,79,83,"Olympique de Marseille Jun 30, 2026 On loan",€21.5M,€31K,1914,
,A. Gouiri ST CAM,25,79,82,Olympique de Marseille 2025 ~ 2029,€23.5M,€46K,2036,
,K. Trapp GK,34,79,79,Paris FC 2025 ~ 2028,€3M,€35K,1199,
,R. Guerreiro LB CM RB LM,31,79,79,FC Bayern München 2023 ~ 2029,€12.5M,€61K,2113,
,J. Stanišić RB CB LB RM,25,79,82,FC Bayern München 2021 ~ 2029,€21.5M,€56K,1860,
,N. Jackson ST,24,79,82,"FC Bayern München Jun 30, 2026 On loan",€24.5M,€105K,1971,
,R. Bensebaini CB LB LM,30,79,79,Borussia Dortmund 2023 ~ 2027,€14.5M,€49K,2118,
,Fábio Silva ST CAM LW,22,79,85,Borussia Dortmund 2025 ~ 2030,€28.5M,€47K,1939,
,D. Svensson LB CM LM,23,79,83,Borussia Dortmund 2025 ~ 2029,€23.5M,€41K,2076,
,V. Grifo LM LW,32,79,79,SC Freiburg 2019 ~ 2029,€14M,€35K,2009,
,R. Andrich CB CM CDM,30,79,79,Bayer 04 Leverkusen 2021 ~ 2028,€14.5M,€73K,2133,
,M. Terrier CAM ST LM,28,79,79,Bayer 04 Leverkusen 2024 ~ 2029,€17.5M,€78K,1976,
,M. Tillman CAM CM LW,23,79,84,Bayer 04 Leverkusen 2025 ~ 2030,€26.5M,€65K,2111,
,I. Maza CAM CM,19,79,87,Bayer 04 Leverkusen 2025 ~ 2030,€38M,€52K,2006,
,J. Stage CM CDM,28,79,79,SV Werder Bremen 2022 ~ 2028,€17.5M,€35K,2117,
,V. Boniface ST,24,79,83,"SV Werder Bremen Jun 30, 2026 On loan",€25.5M,€70K,1916,
,M. Arnold CDM CM,31,79,79,VfL Wolfsburg 2011 ~ 2028,€12.5M,€51K,2152,
,R. Kristensen RB RM CB RW,27,79,79,Eintracht Frankfurt 2025 ~ 2029,€17M,€35K,2058,
,F. Rønnow GK,32,79,79,1. FC Union Berlin 2021 ~ 2029,€8.5M,€26K,1151,
,F. Asllani ST,22,79,83,TSG 1899 Hoffenheim 2021 ~ 2029,€26M,€39K,1882,
,R. Baku RB RM RW,27,79,79,RB Leipzig 2025 ~ 2027,€17M,€53K,2130,
,B. Djimsiti CB,32,79,79,Atalanta 2016 ~ 2029,€11.5M,€66K,1744,
,D. Zappacosta LM RM LB,33,79,79,Atalanta 2021 ~ 2030,€11M,€69K,2117,
,M. Pašalić CM CAM CDM,30,79,79,Atalanta 2020 ~ 2028,€17M,€69K,2086,
,W. McKennie CM CAM RM,26,79,79,Juventus 2021 ~ 2028,€19M,€105K,2191,
,E. Zhegrova RM RW,26,79,79,Juventus 2025 ~ 2030,€19M,€105K,1871,
,Francisco Conceição CAM RM RW CM,22,79,86,Juventus 2025 ~ 2030,€35.5M,€95K,1911,
,N. Rovella CDM CM,23,79,84,Lazio 2025 ~ 2028,€24.5M,€31K,2110,
,P. Estupiñán LB LM,27,79,79,AC Milan 2025 ~ 2030,€17M,€48K,2068,
,S. Giménez ST,24,79,84,AC Milan 2025 ~ 2029,€27M,€48K,1985,
,S. Ricci CDM CM,23,79,85,AC Milan 2025 ~ 2029,€25.5M,€41K,2052,
,V. Milinković-Savić GK,28,79,81,"Napoli Jun 30, 2026 On loan",€15M,€29K,1324,
,Wesley RM LM RB RW,21,79,85,Roma 2025 ~ 2030,€28M,€42K,2093,
,Angeliño LB LM,28,79,79,Roma 2024 ~ 2028,€16M,€56K,2155,
,Mario Hermoso CB,30,79,79,Roma 2024 ~ 2028,€14.5M,€56K,1977,
