Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,Unnamed: 9
,Iván Villar GK,27,72,75,RC Celta 2014 ~ 2027,€2.3M,€12K,1098,
,M. Ristić LB LM LW,29,72,72,RC Celta 2023 ~ 2028,€2.1M,€19K,1885,
,C. Ngonge RW RM ST,25,72,73,"RCD Espanyol Jun 30, 2026 On loan",€2.8M,€53K,1843,
,Salinas LB LM,24,72,76,RCD Espanyol 2025 ~ 2028,€3.1M,€13K,1856,
,Abdón Prats ST CAM,32,72,72,RCD Mallorca 2017 ~ 2028,€1.9M,€24K,1774,
,Mateo Joseph ST RM RW,21,72,82,"RCD Mallorca Jun 30, 2026 On loan",€5.5M,€31K,1846,
,Unai Marrero GK,23,72,79,Real Sociedad 2022 ~ 2027,€4M,€12K,978,
,D. Foulquier RB CB CDM,32,72,72,Valencia CF 2021 ~ 2027,€1.6M,€25K,1899,
,R. Saravia RB RM,32,72,72,Valencia CF 2026 ~ 2026,€1.6M,€25K,1880,
,Raúl Fernández GK,37,72,72,Deportivo Alavés 2025 ~ 2028,€250K,€8K,1161,
,I. Diabate ST,25,72,74,"Deportivo Alavés Jun 30, 2026 On loan",€3M,€5K,1761,
,A. Rebbach LW LM,26,72,72,Deportivo Alavés 2020 ~ 2028,€2.6M,€21K,1941,
,L. Cepeda LW LM CM,22,72,81,Elche CF 2026 ~ 2030,€5.5M,€16K,1876,
,Josan RM RB RW,35,72,72,Elche CF 2018 ~ 2030,€950K,€13K,1904,
,Gonzalo Villar CM CAM CDM,27,72,72,Elche CF 2025 ~ 2029,€2.5M,€17K,1911,
,Martim Neto CM CDM CAM,22,72,81,Elche CF 2025 ~ 2028,€5M,€15K,1922,
