ID,Player_Name,Age,Primary_Position,Player_Type,Positions,Club,League,Contract_End_Year,Height_cm,Weight_kg,BMI,Value_EUR,Value_Formatted,Wage_EUR,Wage_Formatted,Value_per_Overall,apps,min,goals,a,NPG,Performance_Score,Overall rating,Potential,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,"﻿""number"""
258885,Luiz Júnior,24,GK,Goalkeeper,GK,Villarreal CF,La Liga,2030,194.0,88.0,23.38,16000000.0,16M,19000.0,19K,205128.21,28,2520,0,0,0,0.0,78,82,Left,29,31,22,75,14,52,40,10,12,78,77,78,3,1,494
273906,Renato Veiga,21,CB,Outfield,CB,Villarreal CF,La Liga,2032,190.0,88.0,24.38,19500000.0,19.5M,27000.0,27K,250000.0,33,2553,0,0,0,0.0,78,83,Left,76,83,80,82,77,70,72,77,77,6,15,13,3,2,456
260815,Arnau Martínez,22,RB,Outfield,RB LB CM,Girona FC,La Liga,2027,182.0,72.0,21.74,20000000.0,20M,28000.0,28K,256410.26,35,2715,2,3,2,0.17,78,83,Right,82,75,80,68,75,74,68,77,75,10,7,10,3,2,148
264846,Cristhian Mosquera,21,CB,Outfield,CB,Arsenal,Premier League,2030,191.0,79.0,21.66,22000000.0,22M,69000.0,69K,285714.29,20,976,0,0,0,0.0,77,85,Right,73,74,79,74,77,58,69,80,76,8,6,8,3,2,406
79402,Igor Jesus,24,ST,Outfield,ST,Nottingham Forest,Premier League,2029,180.0,73.0,22.53,15500000.0,15.5M,72000.0,72K,201298.7,37,2379,6,4,5,0.38,77,81,Right,68,71,72,79,29,72,75,35,24,11,6,14,3,3,56
232440,Caio Henrique,27,LB,Outfield,LB LM,AS Monaco,Ligue 1,2027,178.0,70.0,22.09,10000000.0,10M,30000.0,30K,129870.13,22,1527,0,2,0,0.12,77,77,Left,76,79,81,57,73,77,80,75,71,11,15,6,2,3,303
263781,Vanderson,24,RB,Outfield,RB RM,AS Monaco,Ligue 1,2028,173.0,74.0,24.73,15500000.0,15.5M,26000.0,26K,201298.7,14,609,0,2,0,0.3,77,83,Right,79,78,77,67,72,74,74,74,74,8,8,6,3,3,366
210736,Emerson,30,LB,Outfield,LB LM,Olympique de Marseille,Ligue 1,2027,176.0,76.0,24.54,9000000.0,9M,38000.0,38K,116883.12,28,2110,0,3,0,0.13,77,77,Left,73,69,79,68,76,67,77,75,75,8,15,7,2,3,272
259075,Yan Couto,23,RB,Outfield,RB RM,Borussia Dortmund,Bundesliga,2030,168.0,60.0,21.26,14000000.0,14M,34000.0,34K,181818.18,19,989,2,2,2,0.36,77,81,Right,84,69,74,51,74,75,65,72,77,9,6,8,3,4,165
256958,Fábio Vieira,25,CM,Outfield,CM CAM RW CDM,"Hamburger SV Jun 30, 2026 On loan",Bundesliga,,173.0,61.0,20.38,14500000.0,14.5M,95000.0,95K,188311.69,29,2241,7,5,6,0.48,77,81,Left,73,70,66,48,59,82,76,60,48,9,5,13,3,3,35
208618,Lucas Vázquez,34,RB,Outfield,RB RM,Bayer 04 Leverkusen,Bundesliga,2027,173.0,69.0,23.05,3900000.0,3.9M,62000.0,62K,50649.35,12,483,1,2,1,0.56,77,77,Right,74,77,83,56,74,79,75,69,67,9,16,9,4,4,190
271916,Bryan Zaragoza,23,LW,Outfield,LW LM CAM,"Roma Jun 30, 2026 On loan",La Liga,,164.0,61.0,22.68,16500000.0,16.5M,49000.0,49K,214285.71,19,1138,1,1,0,0.16,77,83,Right,85,79,61,33,23,62,58,32,38,10,11,12,4,4,234
271916,Bryan Zaragoza,23,LW,Outfield,LW LM CAM,"Roma Jun 30, 2026 On loan",Serie A,,164.0,61.0,22.68,16500000.0,16.5M,49000.0,49K,214285.71,4,140,0,1,0,0.64,77,83,Right,85,79,61,33,23,62,58,32,38,10,11,12,4,4,435
257290,João Mário,25,RB,Outfield,RB RM,"Bologna Jun 30, 2026 On loan",Serie A,,178.0,73.0,23.04,13000000.0,13M,82000.0,82K,168831.17,20,1003,1,0,1,0.09,77,80,Right,85,83,83,60,71,73,70,69,69,9,5,10,4,3,288
75055,Jesús Rodríguez,19,LM,Outfield,LM RM LW,Como,Serie A,2029,185.0,68.0,19.87,23000000.0,23M,52000.0,52K,298701.3,31,1728,2,9,2,0.57,77,85,Right,83,78,65,60,33,76,70,39,38,8,11,8,3,3,176
246606,Fran García,25,LB,Outfield,LB LM,Real Madrid,La Liga,2027,169.0,63.0,22.06,13000000.0,13M,115000.0,115K,168831.17,13,930,1,1,1,0.19,77,80,Left,88,86,83,71,73,67,69,79,73,9,6,9,3,3,231
263617,Beñat Prados,24,CDM,Outfield,CDM CM CB,Athletic Club,La Liga,2031,180.0,72.0,22.22,14500000.0,14.5M,32000.0,32K,188311.69,2,87,0,0,0,0.0,77,82,Right,70,66,78,72,76,74,77,78,73,15,8,9,3,2,419
221087,Pau López,30,GK,Goalkeeper,GK,Real Betis Balompié,La Liga,2028,189.0,77.0,21.56,7000000.0,7M,18000.0,18K,90909.09,9,810,0,0,0,0.0,77,77,Left,45,52,42,52,16,67,62,20,11,76,76,77,3,1,308
