"number";"player";"team";"apps";"min";"goals";"NPG";"a"
391;"Thierry Correia";"Valencia";24;1386;0;0;2
392;"Daniel Cárdenas";"Rayo Vallecano";4;360;0;0;0
393;"Logan Costa";"Villarreal";2;21;0;0;0
394;"Unai Vencedor";"Levante";16;837;0;0;0
395;"Juanlu Sanchez";"Sevilla";32;2016;0;0;3
396;"Javier López";"Real Oviedo";26;1825;0;0;1
397;"Sergio Lozano";"Levante";1;7;0;0;0
398;"Jon Pacheco Dozagarat";"Alaves";22;1737;0;0;0
399;"Aimar Oroz";"Osasuna";31;2175;0;0;2
400;"Arnau Tenas";"Villarreal";11;990;0;0;0
401;"Raul Moro";"Osasuna";14;628;0;0;2
402;"Yvan Neyou";"Getafe";5;49;0;0;0
403;"Juan Cruz";"Osasuna";15;644;0;0;0
404;"Arsen Zakharyan";"Real Sociedad";17;424;0;0;0
405;"Oriol Rey";"Levante";20;1316;0;0;1
406;"Donny van de Beek";"Girona";2;37;0;0;0
407;"Urko Gonzalez";"Espanyol,Real Sociedad";36;2615;0;0;1
408;"Matteo Ruggeri";"Atletico Madrid";26;1767;0;0;3
409;"Josan";"Elche";19;525;0;0;3
410;"José Salinas";"Espanyol";11;232;0;0;0
411;"Mourad El Ghezouani";"Elche";2;42;0;0;0
412;"Jairo Izquierdo";"Elche";1;22;0;0;0
413;"Yeremi Pino";"Villarreal";2;165;0;0;1
414;"Unai Marrero";"Real Sociedad";1;90;0;0;0
415;"Jesús Vázquez";"Valencia";24;936;0;0;0
416;"Abdelkabir Abqar";"Getafe";23;1479;0;0;2
417;"Pablo Cuñat";"Levante";2;180;0;0;0
418;"Beñat Turrientes";"Real Sociedad";27;1355;0;0;3
419;"Beñat Prados";"Athletic Club";2;87;0;0;0
420;"Carlos Domínguez";"Celta Vigo";8;602;0;0;0
421;"Hugo Sotelo";"Celta Vigo";20;1350;0;0;2
422;"Jesús Areso";"Athletic Club";26;1498;0;0;1
423;"Joan García";"Barcelona";30;2700;0;0;0
